Field characteristic;A;d;Edwards Curve Order;Montgomery Curve Order;P_x;P_y
4583;0;4582;4586;4584;1;1814
4591;0;4590;4594;4592;1;1229
4603;0;4602;4606;4604;4602;2414
4639;0;4638;4642;4640;1;1948
4643;0;4642;4646;4644;4642;2470
4651;0;4650;4654;4652;4650;3610
4663;0;4662;4666;4664;1;676
4679;0;4678;4682;4680;1;2249
4691;0;4690;4694;4692;4690;3947
4703;0;4702;4706;4704;1;729
4723;0;4722;4726;4724;4722;2421
4751;0;4750;4754;4752;1;1952
4759;0;4758;4762;4760;1;69
4783;0;4782;4786;4784;1;2300
4787;0;4786;4790;4788;4786;3339
4799;0;4798;4802;4800;1;879
4831;0;4830;4834;4832;1;2222
4871;0;4870;4874;4872;1;632
4903;0;4902;4906;4904;1;262
4919;0;4918;4922;4920;1;1082
4931;0;4930;4934;4932;4930;4759
4943;0;4942;4946;4944;1;696
4951;0;4950;4954;4952;1;693
4967;0;4966;4970;4968;1;478
4987;0;4986;4990;4988;4986;4233
4999;0;4998;5002;5000;1;100
5003;0;5002;5006;5004;5002;1813
5011;0;5010;5014;5012;5010;1781
5023;0;5022;5026;5024;1;1698
5039;0;5038;5042;5040;1;4968
5051;0;5050;5054;5052;5050;3465
5059;0;5058;5062;5060;5058;3349
5087;0;5086;5090;5088;1;1394
5099;0;5098;5102;5100;5098;3917
5107;0;5106;5110;5108;5106;2672
5119;0;5118;5122;5120;1;4824
5147;0;5146;5150;5148;5146;4381
5167;0;5166;5170;5168;1;4601
5171;0;5170;5174;5172;5170;4172
5179;0;5178;5182;5180;5178;765
5227;0;5226;5230;5228;5226;1025
5231;0;5230;5234;5232;1;1505
5279;0;5278;5282;5280;1;2097
5303;0;5302;5306;5304;1;4616
5323;0;5322;5326;5324;5322;1461
5347;0;5346;5350;5348;5346;3589
5351;0;5350;5354;5352;1;625
5387;0;5386;5390;5388;5386;4072
5399;0;5398;5402;5400;1;3634
5407;0;5406;5410;5408;1;104
5419;0;5418;5422;5420;5418;2048
5431;0;5430;5434;5432;1;2618
5443;0;5442;5446;5444;5442;557
5471;0;5470;5474;5472;1;1722
5479;0;5478;5482;5480;1;2562
5483;0;5482;5486;5484;5482;2305
5503;0;5502;5506;5504;1;475
5507;0;5506;5510;5508;5506;4336
5519;0;5518;5522;5520;1;1747
5527;0;5526;5530;5528;1;3169
5531;0;5530;5534;5532;5530;2257
5563;0;5562;5566;5564;5562;873
5591;0;5590;5594;5592;1;5155
5623;0;5622;5626;5624;1;75
5639;0;5638;5642;5640;1;680
5647;0;5646;5650;5648;1;4739
5651;0;5650;5654;5652;5650;4484
5659;0;5658;5662;5660;5658;3260
5683;0;5682;5686;5684;5682;4633
5711;0;5710;5714;5712;1;529
5743;0;5742;5746;5744;1;4000
5779;0;5778;5782;5780;5778;2692
5783;0;5782;5786;5784;1;3320
5791;0;5790;5794;5792;1;1539
5807;0;5806;5810;5808;1;4624
5827;0;5826;5830;5828;5826;229
5839;0;5838;5842;5840;1;1225
5843;0;5842;5846;5844;5842;772
5851;0;5850;5854;5852;5850;3752
5867;0;5866;5870;5868;5866;2660
5879;0;5878;5882;5880;1;3512
5903;0;5902;5906;5904;1;448
5923;0;5922;5926;5924;5922;2253
5927;0;5926;5930;5928;1;5850
5939;0;5938;5942;5940;5938;5180
5987;0;5986;5990;5988;5986;3885
6007;0;6006;6010;6008;1;290
6011;0;6010;6014;6012;6010;5052
6043;0;6042;6046;6044;6042;5213
6047;0;6046;6050;6048;1;4427
6067;0;6066;6070;6068;6066;3421
6079;0;6078;6082;6080;1;3386
6091;0;6090;6094;6092;6090;1345
6131;0;6130;6134;6132;6130;669
6143;0;6142;6146;6144;1;3499
6151;0;6150;6154;6152;1;5602
6163;0;6162;6166;6164;6162;2780
6199;0;6198;6202;6200;1;5665
6203;0;6202;6206;6204;6202;1820
6211;0;6210;6214;6212;6210;5616
6247;0;6246;6250;6248;1;1227
6263;0;6262;6266;6264;1;4138
6271;0;6270;6274;6272;1;112
6287;0;6286;6290;6288;1;1192
6299;0;6298;6302;6300;6298;2345
6311;0;6310;6314;6312;1;3346
6323;0;6322;6326;6324;6322;5677
6343;0;6342;6346;6344;1;298
6359;0;6358;6362;6360;1;3074
6367;0;6366;6370;6368;1;329
6379;0;6378;6382;6380;6378;3397
6427;0;6426;6430;6428;6426;4410
6451;0;6450;6454;6452;6450;4873
6491;0;6490;6494;6492;6490;4013
6547;0;6546;6550;6548;6546;5628
6551;0;6550;6554;6552;1;2526
6563;0;6562;6566;6564;6562;6482
6571;0;6570;6574;6572;6570;5153
6599;0;6598;6602;6600;1;1596
6607;0;6606;6610;6608;1;2392
6619;0;6618;6622;6620;6618;3600
6659;0;6658;6662;6660;6658;4768
6679;0;6678;6682;6680;1;2879
6691;0;6690;6694;6692;6690;4912
6703;0;6702;6706;6704;1;2658
6719;0;6718;6722;6720;1;2201
6763;0;6762;6766;6764;6762;3990
6779;0;6778;6782;6780;6778;6532
6791;0;6790;6794;6792;1;982
6803;0;6802;6806;6804;6802;4955
6823;0;6822;6826;6824;1;2025
6827;0;6826;6830;6828;6826;5156
6863;0;6862;6866;6864;1;2391
6871;0;6870;6874;6872;1;2318
6883;0;6882;6886;6884;6882;6209
6899;0;6898;6902;6900;6898;4770
6907;0;6906;6910;6908;6906;4577
6911;0;6910;6914;6912;1;806
6947;0;6946;6950;6948;6946;6461
6959;0;6958;6962;6960;1;2582
6967;0;6966;6970;6968;1;1198
6971;0;6970;6974;6972;6970;4608
6983;0;6982;6986;6984;1;2547
6991;0;6990;6994;6992;1;3295
7019;0;7018;7022;7020;7018;5228
7027;0;7026;7030;7028;7026;6411
7039;0;7038;7042;7040;1;1345
7043;0;7042;7046;7044;7042;5491
7079;0;7078;7082;7080;1;1298
7103;0;7102;7106;7104;1;3440
7127;0;7126;7130;7128;1;1006
7151;0;7150;7154;7152;1;2026
7159;0;7158;7162;7160;1;3118
7187;0;7186;7190;7188;7186;6700
7207;0;7206;7210;7208;1;2374
7211;0;7210;7214;7212;7210;7003
7219;0;7218;7222;7220;7218;4373
7243;0;7242;7246;7244;7242;4857
7247;0;7246;7250;7248;1;351
7283;0;7282;7286;7284;7282;5754
7307;0;7306;7310;7308;7306;4286
7331;0;7330;7334;7332;7330;5005
7351;0;7350;7354;7352;1;1263
7411;0;7410;7414;7412;7410;5521
7451;0;7450;7454;7452;7450;5008
7459;0;7458;7462;7460;7458;6019
7487;0;7486;7490;7488;1;1929
7499;0;7498;7502;7500;7498;4457
7507;0;7506;7510;7508;7506;4320
7523;0;7522;7526;7524;7522;4193
7547;0;7546;7550;7548;7546;4628
7559;0;7558;7562;7560;1;1994
7583;0;7582;7586;7584;1;3493
7591;0;7590;7594;7592;1;326
7603;0;7602;7606;7604;7602;3877
7607;0;7606;7610;7608;1;859
7639;0;7638;7642;7640;1;1109
7643;0;7642;7646;7644;7642;4758
7687;0;7686;7690;7688;1;124
7691;0;7690;7694;7692;7690;4562
7699;0;7698;7702;7700;7698;3995
7703;0;7702;7706;7704;1;1354
7723;0;7722;7726;7724;7722;5961
7727;0;7726;7730;7728;1;796
7759;0;7758;7762;7760;1;872
7823;0;7822;7826;7824;1;3340
7867;0;7866;7870;7868;7866;5106
7879;0;7878;7882;7880;1;1274
7883;0;7882;7886;7884;7882;4135
7907;0;7906;7910;7908;7906;6089
7919;0;7918;7922;7920;1;89
7927;0;7926;7930;7928;1;3750
7951;0;7950;7954;7952;1;1476
7963;0;7962;7966;7964;7962;4803
8011;0;8010;8014;8012;8010;4083
8039;0;8038;8042;8040;1;2915
8059;0;8058;8062;8060;8058;5117
8087;0;8086;8090;8088;1;3553
8111;0;8110;8114;8112;1;887
8123;0;8122;8126;8124;8122;4357
8147;0;8146;8150;8148;8146;4308
8167;0;8166;8170;8168;1;1659
8171;0;8170;8174;8172;8170;6965
8179;0;8178;8182;8180;8178;4591
8191;0;8190;8194;8192;1;128
8219;0;8218;8222;8220;8218;4188
8231;0;8230;8234;8232;1;1628
8243;0;8242;8246;8244;8242;6819
8263;0;8262;8266;8264;1;2724
8287;0;8286;8290;8288;1;1341
8291;0;8290;8294;8292;8290;5241
8311;0;8310;8314;8312;1;3843
8363;0;8362;8366;8364;8362;8139
8387;0;8386;8390;8388;8386;7853
8419;0;8418;8422;8420;8418;7141
8423;0;8422;8426;8424;1;3956
8431;0;8430;8434;8432;1;2047
8443;0;8442;8446;8444;8442;7515
8447;0;8446;8450;8448;1;2490
8467;0;8466;8470;8468;8466;6989
8527;0;8526;8530;8528;1;3253
8539;0;8538;8542;8540;8538;8158
8543;0;8542;8546;8544;1;647
8563;0;8562;8566;8564;8562;7883
8599;0;8598;8602;8600;1;3421
8623;0;8622;8626;8624;1;2409
8627;0;8626;8630;8628;8626;5255
8647;0;8646;8650;8648;1;93
8663;0;8662;8666;8664;1;2494
8699;0;8698;8702;8700;8698;5238
8707;0;8706;8710;8708;8706;6111
8719;0;8718;8722;8720;1;385
8731;0;8730;8734;8732;8730;8155
8747;0;8746;8750;8748;8746;4985
8779;0;8778;8782;8780;8778;6967
8783;0;8782;8786;8784;1;2404
8803;0;8802;8806;8804;8802;7122
8807;0;8806;8810;8808;1;1684
8819;0;8818;8822;8820;8818;8110
8831;0;8830;8834;8832;1;3642
8839;0;8838;8842;8840;1;1136
8863;0;8862;8866;8864;1;1959
8867;0;8866;8870;8868;8866;6691
8887;0;8886;8890;8888;1;3267
8923;0;8922;8926;8924;8922;8047
8951;0;8950;8954;8952;1;354
8963;0;8962;8966;8964;8962;5289
8971;0;8970;8974;8972;8970;8739
8999;0;8998;9002;9000;1;4374
9007;0;9006;9010;9008;1;3034
9011;0;9010;9014;9012;9010;4894
9043;0;9042;9046;9044;9042;5997
9059;0;9058;9062;9060;9058;7031
9067;0;9066;9070;9068;9066;8520
9091;0;9090;9094;9092;9090;5251
9103;0;9102;9106;9104;1;3814
9127;0;9126;9130;9128;1;4161
9151;0;9150;9154;9152;1;3732
9187;0;9186;9190;9188;9186;7156
9199;0;9198;9202;9200;1;3923
9203;0;9202;9206;9204;9202;7967
9227;0;9226;9230;9228;9226;8136
9239;0;9238;9242;9240;1;3125
9283;0;9282;9286;9284;9282;9047
9311;0;9310;9314;9312;1;1344
9319;0;9318;9322;9320;1;2214
9323;0;9322;9326;9324;9322;8454
9343;0;9342;9346;9344;1;2581
9371;0;9370;9374;9372;9370;4937
9391;0;9390;9394;9392;1;3098
9403;0;9402;9406;9404;9402;7411
9419;0;9418;9422;9420;9418;7170
9431;0;9430;9434;9432;1;2422
9439;0;9438;9442;9440;1;1483
9463;0;9462;9466;9464;1;3632
9467;0;9466;9470;9468;9466;6519
9479;0;9478;9482;9480;1;1502
9491;0;9490;9494;9492;9490;7963
9511;0;9510;9514;9512;1;4484
9539;0;9538;9542;9540;9538;9246
9547;0;9546;9550;9548;9546;7610
9551;0;9550;9554;9552;1;835
9587;0;9586;9590;9588;9586;6694
9619;0;9618;9622;9620;9618;6566
9623;0;9622;9626;9624;1;572
9631;0;9630;9634;9632;1;3715
9643;0;9642;9646;9644;9642;6149
9679;0;9678;9682;9680;1;2627
9719;0;9718;9722;9720;1;4304
9739;0;9738;9742;9740;9738;6850
9743;0;9742;9746;9744;1;3112
9767;0;9766;9770;9768;1;4382
9787;0;9786;9790;9788;9786;6370
9791;0;9790;9794;9792;1;3217
9803;0;9802;9806;9804;9802;9704
9811;0;9810;9814;9812;9810;9242
9839;0;9838;9842;9840;1;3416
9851;0;9850;9854;9852;9850;7861
9859;0;9858;9862;9860;9858;8538
9871;0;9870;9874;9872;1;1689
9883;0;9882;9886;9884;9882;5729
9887;0;9886;9890;9888;1;3648
9907;0;9906;9910;9908;9906;8968
9923;0;9922;9926;9924;9922;9679
9931;0;9930;9934;9932;9930;7896
9967;0;9966;9970;9968;1;3038
1019;1;679;1058;1056;1;644
1031;1;687;994;992;1;154
1039;4;3;1062;1060;1038;409
1051;4;701;1026;1024;1;277
1063;3;5;1110;1108;1062;1
1087;3;5;1118;1116;1086;1
1091;1;727;1042;1040;1;348
1103;1;735;1154;1152;1;1056
1123;3;5;1142;1140;1122;1
1151;1;767;1154;1152;1;978
1163;1;775;1154;1152;1;688
1171;4;781;1218;1216;1;769
1187;1;791;1154;1152;1;412
1223;1;815;1250;1248;1;1107
1231;4;3;1214;1212;1230;331
1259;1;839;1202;1200;1;480
1279;4;3;1230;1228;1278;1050
1283;1;855;1298;1296;1;992
1291;4;861;1338;1336;1;984
1303;3;5;1334;1332;1302;1
1307;1;871;1282;1280;1;996
1319;1;879;1330;1328;1;691
1327;3;5;1326;1324;1326;1
1367;1;911;1346;1344;1;1083
1399;4;3;1406;1404;1398;650
1423;3;5;1462;1460;1422;1
1427;1;951;1490;1488;1;584
1439;1;959;1490;1488;1;419
1447;3;5;1454;1452;1446;1
1451;1;967;1506;1504;1;1385
1459;4;973;1434;1432;1;1268
1471;4;3;1470;1468;1470;1169
1483;3;5;1414;1412;1482;1
1487;1;991;1426;1424;1;1034
1499;1;999;1522;1520;1;981
1511;1;1007;1554;1552;1;1456
1523;1;1015;1490;1488;1;1324
1531;4;1021;1522;1520;1;1233
1543;3;5;1542;1540;1542;1
1559;1;1039;1522;1520;1;714
1567;3;5;1518;1516;1566;1
1571;1;1047;1634;1632;1;1161
1579;4;1053;1586;1584;1;824
1583;1;1055;1570;1568;1;826
1607;1;1071;1618;1616;1;737
1619;1;1079;1634;1632;1;713
1627;3;5;1582;1580;1626;1
1663;3;5;1686;1684;1662;1
1667;1;1111;1730;1728;1;961
1699;4;1133;1682;1680;1;1028
1723;3;5;1702;1700;1722;1
1747;3;5;1806;1804;1746;1
1759;4;3;1750;1748;1758;824
1783;3;5;1766;1764;1782;1
1787;1;1191;1778;1776;1;264
1811;1;1207;1890;1888;1;217
1823;1;1215;1746;1744;1;1106
1831;4;3;1790;1788;1830;1235
1847;1;1231;1842;1840;1;1211
1867;3;5;1854;1852;1866;1
1871;1;1247;1890;1888;1;898
1879;4;3;1926;1924;1878;1585
1907;1;1271;1922;1920;1;513
1931;1;1287;1922;1920;1;357
1951;4;3;1902;1900;1950;1434
1979;1;1319;1970;1968;1;837
1987;3;5;2062;2060;1986;1
1999;4;3;2054;2052;1998;562
2003;1;1335;1986;1984;1;385
2011;4;1341;2090;2088;1;623
2027;1;1351;2066;2064;1;78
2039;1;1359;2098;2096;1;282
2063;1;1375;2114;2112;1;369
2083;3;5;2118;2116;2082;2082
2087;1;1391;2082;2080;1;618
2099;1;1399;2018;2016;1;678
2111;1;1407;2162;2160;1;65
2131;4;1421;2146;2144;1;146
2143;3;5;2214;2212;2142;2142
2179;4;1453;2266;2264;1;1049
2203;3;5;2246;2244;2202;2202
2207;1;1471;2178;2176;1;428
2239;4;3;2270;2268;2238;1736
2243;1;1495;2210;2208;1;67
2251;4;1501;2306;2304;1;460
2267;1;1511;2354;2352;1;703
2287;3;5;2302;2300;2286;2286
2311;4;3;2382;2380;2310;2243
2339;1;1559;2322;2320;1;857
2347;3;5;2286;2284;2346;2346
2351;1;1567;2354;2352;1;84
2371;4;1581;2346;2344;1;154
2383;3;5;2390;2388;2382;2382
2399;1;1599;2466;2464;1;541
2411;1;1607;2338;2336;1;562
2423;1;1615;2402;2400;1;251
2447;1;1631;2498;2496;1;689
2459;1;1639;2482;2480;1;933
2467;3;5;2446;2444;2466;2466
2503;3;5;2486;2484;2502;2502
2531;1;1687;2482;2480;1;591
2539;4;1693;2522;2520;1;276
2543;1;1695;2626;2624;1;557
2551;4;3;2598;2596;2550;2051
2579;1;1719;2642;2640;1;946
2591;1;1727;2498;2496;1;1100
2647;3;5;2734;2732;2646;2646
2659;4;1773;2586;2584;1;1053
2663;1;1775;2690;2688;1;73
2671;4;3;2614;2612;2670;2203
2683;3;5;2758;2756;2682;2682
2687;1;1791;2642;2640;1;953
2699;1;1799;2690;2688;1;90
2707;3;5;2766;2764;2706;2706
2711;1;1807;2786;2784;1;423
2719;4;3;2702;2700;2718;2504
2731;4;1821;2714;2712;1;398
2767;3;5;2718;2716;2766;2766
2791;4;3;2838;2836;2790;1843
2803;3;5;2790;2788;2802;2802
2819;1;1879;2834;2832;1;364
2843;1;1895;2770;2768;1;1255
2851;4;1901;2890;2888;1;736
2879;1;1919;2882;2880;1;1393
2887;3;5;2814;2812;2886;2886
2903;1;1935;2866;2864;1;454
2927;1;1951;2914;2912;1;570
2939;1;1959;2866;2864;1;260
2963;1;1975;2994;2992;1;77
2971;4;1981;3066;3064;1;972
2999;1;1999;3090;3088;1;342
3011;1;2007;3074;3072;1;182
3019;4;2013;2986;2984;1;55
3023;1;2015;3090;3088;1;850
3067;3;5;3006;3004;3066;3066
3079;4;3;3134;3132;3078;2232
3083;1;2055;3122;3120;1;1249
3119;1;2079;3122;3120;1;79
3163;3;5;3174;3172;3162;3162
3167;1;2111;3186;3184;1;960
3187;3;5;3214;3212;3186;3186
3191;1;2127;3250;3248;1;730
3203;1;2135;3234;3232;1;388
3251;1;2167;3314;3312;1;788
3259;4;2173;3258;3256;1;1580
3271;4;3;3350;3348;3270;3057
3299;1;2199;3202;3200;1;1261
3307;3;5;3278;3276;3306;3306
3319;4;3;3294;3292;3318;2588
3323;1;2215;3330;3328;1;360
3331;4;2221;3234;3232;1;678
3343;3;5;3350;3348;3342;3342
3347;1;2231;3330;3328;1;295
3359;1;2239;3442;3440;1;1027
3371;1;2247;3362;3360;1;975
3391;4;3;3390;3388;3390;1991
3407;1;2271;3346;3344;1;698
3463;3;5;3494;3492;3462;3462
3467;1;2311;3410;3408;1;102
3491;1;2327;3474;3472;1;1561
3499;4;2333;3538;3536;1;324
3511;4;3;3614;3612;3510;2952
3527;1;2351;3442;3440;1;1665
3539;1;2359;3506;3504;1;999
3547;3;5;3630;3628;3546;3546
3559;4;3;3510;3508;3558;1984
3571;4;2381;3498;3496;1;702
3583;3;5;3670;3668;3582;3582
3607;3;5;3630;3628;3606;3606
3623;1;2415;3730;3728;1;489
3631;4;3;3742;3740;3630;1960
3643;3;5;3638;3636;3642;3642
3659;1;2439;3602;3600;1;941
3671;1;2447;3602;3600;1;1783
3691;4;2461;3674;3672;1;989
3719;1;2479;3650;3648;1;1136
3727;3;5;3614;3612;3726;3726
3739;4;2493;3682;3680;1;1669
3767;1;2511;3714;3712;1;1360
3779;1;2519;3746;3744;1;679
3803;1;2535;3842;3840;1;501
3823;3;5;3766;3764;3822;3822
3847;3;5;3822;3820;3846;3846
3851;1;2567;3890;3888;1;729
3863;1;2575;3890;3888;1;751
3907;3;5;3806;3804;3906;3906
3911;1;2607;4034;4032;1;846
3919;4;3;4014;4012;3918;2364
3923;1;2615;3970;3968;1;1587
3931;4;2621;3986;3984;1;1694
3943;3;5;4022;4020;3942;3942
3947;1;2631;4002;4000;1;1286
3967;3;5;4046;4044;3966;3966
4003;3;5;4038;4036;4002;4002
4007;1;2671;3970;3968;1;1191
4019;1;2679;4066;4064;1;883
4027;3;5;3950;3948;4026;4026
4051;4;2701;4074;4072;1;1765
4079;1;2719;4002;4000;1;1674
4091;1;2727;4034;4032;1;995
4099;4;2733;4034;4032;1;1994
